recorte,numero_mask,8_layers_8channels,32_layers_8channels,64_layers_8channels,8_layers_1channels,32_layers_1channels
445,0.0,1.0,0.0,1.0,1.0,0.0
449,0.0,1.0,1.0,1.0,1.0,1.0
450,2931.0,0.9801573725624358,0.9856459330143541,0.9802031330693751,0.9740574195780007,0.963770664790714
451,3.0,0.0,0.0,0.0,0.0,0.0
461,62.0,0.9256198347107438,0.926829268292683,0.9,0.9323308270676691,0.9523809523809523
464,127.0,0.9682539682539683,0.9803921568627451,0.9469387755102041,0.9469387755102041,0.8908296943231441
479,12.0,0.11940298507462686,0.26229508196721313,0.0,0.0,0.0
486,41.0,0.6105263157894737,0.6829268292682927,0.6052631578947368,0.693069306930693,0.7032967032967034
487,24.0,0.0,0.6046511627906976,0.3783783783783784,0.5098039215686274,0.14814814814814814
494,0.0,1.0,0.0,0.0,1.0,0.0
503,56.0,0.8739495798319328,0.8771929824561403,0.8928571428571429,0.8181818181818182,0.8518518518518519
504,141.0,0.8872727272727273,0.8773234200743495,0.8360655737704918,0.8447653429602888,0.8705882352941177
512,0.0,1.0,1.0,1.0,1.0,1.0
515,100.0,0.8691099476439791,0.8829787234042553,0.9032258064516129,0.8556701030927835,0.8409090909090909
520,0.0,1.0,1.0,1.0,1.0,1.0
524,166.0,0.6691729323308271,0.8074534161490683,0.7719298245614035,0.7335092348284961,0.7662337662337663
533,428.0,0.8930669800235017,0.9106078665077473,0.896969696969697,0.9005586592178771,0.8944246737841044
534,166.0,0.9166666666666666,0.8841463414634146,0.9177215189873418,0.9111747851002865,0.906832298136646
539,0.0,1.0,1.0,1.0,1.0,1.0
540,0.0,1.0,1.0,1.0,1.0,1.0
541,561.0,0.8894783377541998,0.8840453356582388,0.8862164662349676,0.9047210300429185,0.9032846715328468
543,506.0,0.9419862340216323,0.963402571711177,0.9420289855072463,0.954,0.9316508937960042
545,870.0,0.8852272727272728,0.8925714285714286,0.8715427166564229,0.8353001539250898,0.8491747296528173
549,33.0,0.9393939393939394,0.9393939393939394,0.9230769230769231,0.9166666666666666,0.9142857142857143
555,0.0,1.0,1.0,1.0,1.0,1.0
561,0.0,1.0,0.0,0.0,0.0,0.0
