ID,layers8_limiar0.05_8ch,layers8_limiar0.05_1ch,layers8_limiar0.10_8ch,layers8_limiar0.10_1ch,layers8_limiar0.15_8ch,layers8_limiar0.15_1ch,layers8_limiar0.20_8ch,layers8_limiar0.20_1ch,layers8_limiar0.25_8ch,layers8_limiar0.25_1ch,layers8_limiar0.30_8ch,layers8_limiar0.30_1ch,layers8_limiar0.35_8ch,layers8_limiar0.35_1ch,layers8_limiar0.40_8ch,layers8_limiar0.40_1ch,layers8_limiar0.45_8ch,layers8_limiar0.45_1ch,layers32_limiar0.05_8ch,layers32_limiar0.05_1ch,layers32_limiar0.10_8ch,layers32_limiar0.10_1ch,layers32_limiar0.15_8ch,layers32_limiar0.15_1ch,layers32_limiar0.20_8ch,layers32_limiar0.20_1ch,layers32_limiar0.25_8ch,layers32_limiar0.25_1ch,layers32_limiar0.30_8ch,layers32_limiar0.30_1ch,layers32_limiar0.35_8ch,layers32_limiar0.35_1ch,layers32_limiar0.40_8ch,layers32_limiar0.40_1ch,layers32_limiar0.45_8ch,layers32_limiar0.45_1ch,layers64_limiar0.05_8ch,layers64_limiar0.10_8ch,layers64_limiar0.15_8ch,layers64_limiar0.20_8ch,layers64_limiar0.25_8ch,layers64_limiar0.30_8ch,layers64_limiar0.35_8ch,layers64_limiar0.40_8ch,layers64_limiar0.45_8ch
97,0.7681660899653979,0.875,0.7473309608540926,0.8732394366197183,0.7482014388489209,0.8723404255319149,0.7445255474452555,0.8785714285714286,0.7380073800738007,0.8840579710144928,0.7388059701492538,0.88,0.7368421052631579,0.88,0.7376425855513308,0.8759124087591241,0.7209302325581395,0.8717948717948718,0.7553956834532374,0.6576576576576577,0.7527675276752768,0.6454545454545455,0.7527675276752768,0.6203703703703703,0.7555555555555555,0.6139534883720931,0.7396226415094339,0.6074766355140186,0.732824427480916,0.5876777251184834,0.7413127413127413,0.5741626794258373,0.7315175097276264,0.5392156862745098,0.7401574803149606,0.5392156862745098,0.6722689075630253,0.6523605150214592,0.6491228070175439,0.6491228070175439,0.6371681415929203,0.6311111111111111,0.6188340807174888,0.6188340807174888,0.6126126126126126
100,0.7432675044883303,0.7052810902896082,0.7391304347826086,0.7060869565217391,0.7352941176470589,0.6971830985915493,0.7366482504604052,0.7008849557522124,0.7393715341959335,0.697508896797153,0.7393715341959335,0.6987522281639929,0.7388059701492538,0.6987522281639929,0.7340823970037453,0.7012522361359571,0.7269303201506592,0.7001795332136446,0.7966666666666666,0.6692015209125475,0.7959527824620574,0.6666666666666666,0.7918088737201365,0.6575875486381323,0.791095890410959,0.65625,0.7890222984562607,0.6548323471400395,0.7896551724137931,0.6521739130434783,0.7875647668393783,0.6534653465346535,0.7889273356401384,0.6507936507936508,0.7847222222222222,0.6481113320079522,0.6788617886178862,0.6707566462167689,0.6721311475409836,0.6666666666666666,0.668041237113402,0.6652892561983471,0.6625258799171843,0.651356993736952,0.651356993736952
104,0.9447852760736196,0.927710843373494,0.9447852760736196,0.9333333333333333,0.9447852760736196,0.9390243902439024,0.9447852760736196,0.9390243902439024,0.9447852760736196,0.9565217391304348,0.9447852760736196,0.9565217391304348,0.9382716049382716,0.9565217391304348,0.9382716049382716,0.9565217391304348,0.9382716049382716,0.9565217391304348,0.9585798816568047,0.9240506329113924,0.9642857142857143,0.9102564102564102,0.963855421686747,0.9032258064516129,0.963855421686747,0.8961038961038961,0.9634146341463414,0.8961038961038961,0.9634146341463414,0.8888888888888888,0.9634146341463414,0.8888888888888888,0.9634146341463414,0.8888888888888888,0.9634146341463414,0.8741721854304636,0.9069767441860465,0.9005847953216374,0.9058823529411765,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8982035928143712,0.896969696969697,0.9024390243902439
105,0.5909090909090909,0.6027397260273972,0.6134969325153374,0.6187050359712231,0.625,0.6277372262773723,0.6103896103896104,0.6370370370370371,0.6133333333333333,0.6370370370370371,0.6133333333333333,0.6466165413533834,0.6081081081081081,0.6363636363636364,0.6164383561643836,0.6307692307692307,0.6206896551724138,0.625,0.746268656716418,0.6290322580645161,0.7175572519083969,0.5950413223140496,0.7286821705426356,0.5833333333333334,0.736,0.576271186440678,0.7154471544715447,0.576271186440678,0.7049180327868853,0.5739130434782609,0.7049180327868853,0.5357142857142857,0.6942148760330579,0.5454545454545454,0.6833333333333333,0.5321100917431193,0.6178861788617886,0.5932203389830508,0.5739130434782609,0.5663716814159292,0.5585585585585585,0.5454545454545454,0.5370370370370371,0.5370370370370371,0.5370370370370371
116,0.3247863247863248,0.2631578947368421,0.3275862068965517,0.26785714285714285,0.3130434782608696,0.2727272727272727,0.3130434782608696,0.2727272727272727,0.3130434782608696,0.2727272727272727,0.3130434782608696,0.2727272727272727,0.3130434782608696,0.2727272727272727,0.3130434782608696,0.2727272727272727,0.3130434782608696,0.27522935779816515,0.2711864406779661,0.24074074074074073,0.2711864406779661,0.24299065420560748,0.27350427350427353,0.24299065420560748,0.2782608695652174,0.24299065420560748,0.2782608695652174,0.24528301886792453,0.2782608695652174,0.24528301886792453,0.2782608695652174,0.24528301886792453,0.2807017543859649,0.21153846153846154,0.2807017543859649,0.21153846153846154,0.288135593220339,0.2905982905982906,0.2905982905982906,0.29310344827586204,0.2782608695652174,0.2631578947368421,0.2631578947368421,0.24778761061946902,0.25
124,0.9385749385749386,0.8962787015043547,0.9414674361088211,0.9067524115755627,0.946843853820598,0.9115977291159773,0.9484193011647255,0.9113100081366965,0.9474562135112594,0.9119086460032626,0.9474562135112594,0.9132569558101473,0.9464882943143813,0.9123669123669124,0.9463986599664992,0.914332784184514,0.9471919530595139,0.916597853014038,0.9485903814262023,0.9321739130434783,0.9549248747913188,0.9311246730601569,0.9581239530988275,0.9310043668122271,0.9581239530988275,0.9307624890446976,0.9589270746018441,0.9307624890446976,0.9588581024349286,0.929701230228471,0.960470984020185,0.93051890941073,0.9620253164556962,0.9267431597528685,0.961082910321489,0.9266136162687887,0.9645021645021645,0.9644405897658282,0.9625761531766753,0.9616724738675958,0.9616055846422339,0.9616055846422339,0.9606986899563319,0.9597902097902098,0.9588080631025416
127,0.7571189279731994,0.6305418719211823,0.7684391080617495,0.6473594548551959,0.7697594501718213,0.6551126516464472,0.770293609671848,0.6572934973637962,0.7762237762237763,0.6548042704626335,0.778169014084507,0.6559139784946236,0.7785714285714286,0.6558558558558558,0.776386404293381,0.6618181818181819,0.7725631768953068,0.6593806921675774,0.7632508833922261,0.6835443037974683,0.7739602169981917,0.6839186691312384,0.7773722627737226,0.6828358208955224,0.7787934186471663,0.6767485822306238,0.7845303867403315,0.6755218216318786,0.7874306839186691,0.6679462571976967,0.7881040892193308,0.6615087040618955,0.7895716945996276,0.6627906976744186,0.7910447761194029,0.6588693957115009,0.7897623400365631,0.788785046728972,0.7962264150943397,0.7854406130268199,0.7829457364341085,0.7734375,0.7725490196078432,0.7740667976424361,0.7801980198019802
131,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1322314049586777,0.4025157232704403,0.11666666666666667,0.3821656050955414,0.11666666666666667,0.38461538461538464,0.11666666666666667,0.36363636363636365,0.11666666666666667,0.36363636363636365,0.11666666666666667,0.36363636363636365,0.10084033613445378,0.36363636363636365,0.10084033613445378,0.36363636363636365,0.10084033613445378,0.36363636363636365,0.06722689075630252,0.06779661016949153,0.06837606837606838,0.017543859649122806,0.0,0.0,0.0,0.0,0.0
142,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
